ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,CO2EMISSIONS
2.0,4,9.9,6.7,0
2.4,4,11.2,7.7,0
1.5,4,6.0,5.8,0
3.5,6,12.7,9.1,0
3.5,6,12.1,8.7,0
3.5,6,11.9,7.7,0
3.5,6,11.8,8.1,0
3.7,6,12.8,9.0,0
3.7,6,13.4,9.5,1
2.4,4,10.6,7.5,0
2.4,4,11.2,8.1,0
3.5,6,12.1,8.3,0
5.9,12,18.0,12.6,1
5.9,12,18.0,12.6,1
4.7,8,17.4,11.3,1
4.7,8,18.1,12.2,1
4.7,8,17.4,11.3,1
4.7,8,18.1,12.2,1
5.9,12,18.0,12.6,1
2.0,4,9.9,7.4,0
2.0,4,11.5,8.1,0
2.0,4,10.8,7.5,0
2.0,4,11.5,8.1,0
2.0,4,11.5,8.1,0
2.0,4,10.8,7.5,0
2.0,4,12.0,8.1,0
3.0,6,12.8,8.6,0
3.0,6,9.8,6.4,0
3.0,6,13.1,8.8,1
3.0,6,9.8,6.4,0
3.0,6,13.1,8.8,1
4.0,8,13.5,8.6,1
3.0,6,10.0,6.4,0
3.0,6,13.1,8.8,1
4.0,8,14.7,9.7,1
6.3,12,18.2,12.6,1
3.0,6,10.1,6.5,0
2.0,4,11.8,8.8,0
2.0,4,12.0,8.5,0
3.0,6,12.9,9.2,1
2.0,4,9.9,8.3,0
3.0,6,10.3,7.6,0
3.0,6,15.1,10.9,1
3.0,6,12.9,8.4,1
4.2,8,17.6,11.0,1
4.2,8,21.2,13.4,1
5.2,10,18.8,11.3,1
5.2,10,21.1,13.8,1
4.2,8,17.6,11.0,1
4.2,8,21.2,13.4,1
5.2,10,18.8,11.3,1
5.2,10,21.1,13.8,1
4.2,8,15.3,10.9,1
4.2,8,15.2,11.3,1
4.0,8,15.3,9.3,1
3.0,6,13.2,9.2,1
3.0,6,14.6,9.8,1
3.0,6,13.2,9.2,1
3.0,6,14.6,9.8,1
3.0,6,13.3,9.5,1
4.0,8,14.2,9.7,1
4.0,8,14.2,9.7,1
4.0,8,15.4,9.8,1
3.0,6,14.9,10.1,1
2.0,4,10.4,7.6,0
2.0,4,10.4,7.6,0
2.0,4,11.5,8.8,0
2.0,4,11.5,8.8,0
4.0,8,15.4,9.8,1
6.0,12,18.8,11.5,1
4.0,8,16.8,10.3,1
6.0,12,20.0,12.2,1
4.0,8,16.7,10.6,1
6.0,12,20.0,12.2,1
6.0,12,20.0,12.2,1
6.8,8,22.3,14.9,1
2.0,4,10.0,6.5,0
2.0,4,10.4,6.7,0
2.0,4,10.2,7.0,0
2.0,4,7.6,5.5,0
2.0,4,7.6,5.5,0
2.0,4,10.0,6.5,0
2.0,4,10.4,6.7,0
2.0,4,10.6,7.2,0
2.0,4,10.6,7.2,0
2.0,4,10.6,7.2,0
3.0,6,11.4,7.3,0
3.0,6,11.8,7.9,0
3.0,6,11.7,7.8,0
3.0,6,11.9,8.3,0
3.0,6,11.9,8.0,0
2.0,4,10.0,6.5,0
2.0,4,10.4,6.7,0
2.0,4,10.6,7.2,0
3.0,6,11.4,7.3,0
3.0,6,11.8,7.9,0
3.0,6,11.7,7.8,0
3.0,6,11.9,8.3,0
2.0,4,10.2,7.0,0
2.0,4,10.6,7.2,0
3.0,6,9.2,6.4,0
3.0,6,11.9,8.0,0
3.0,6,12.5,8.6,0
4.4,8,14.4,9.6,1
4.4,8,15.0,9.8,1
3.0,6,11.9,8.0,0
4.4,8,15.0,9.8,1
4.4,8,14.4,9.6,1
4.4,8,15.0,9.8,1
3.0,6,12.5,8.6,0
4.4,8,15.0,9.8,1
4.4,8,15.0,9.8,1
6.0,12,18.7,11.5,1
3.0,6,9.2,7.1,0
3.0,6,10.5,7.9,0
3.0,6,10.5,7.6,0
4.4,8,15.0,9.8,1
4.4,8,15.0,9.8,1
4.4,8,17.3,11.5,1
4.4,8,16.2,10.9,1
4.4,8,17.3,11.5,1
4.4,8,16.2,10.9,1
4.4,8,17.3,11.5,1
4.4,8,16.2,10.9,1
4.4,8,17.3,11.5,1
4.4,8,16.2,10.9,1
2.0,4,10.6,7.2,0
3.0,6,13.2,8.9,1
2.0,4,11.2,8.5,0
3.0,6,12.6,9.1,0
3.0,6,12.9,8.8,0
4.4,8,16.3,10.9,1
4.4,8,18.1,13.7,1
3.0,6,13.6,9.8,1
4.4,8,16.4,11.3,1
2.0,4,10.8,7.1,0
2.0,4,10.4,6.7,0
3.0,6,13.7,10.1,1
3.0,6,12.7,9.0,0
3.0,6,13.7,10.1,1
3.6,6,14.3,9.9,1
3.6,6,14.6,10.2,1
1.4,4,9.5,7.2,0
1.4,4,10.2,8.0,0
3.6,6,13.7,8.7,1
3.6,6,18.4,12.2,0
3.6,6,13.7,8.9,1
3.6,6,19.4,13.0,1
2.4,4,9.6,6.5,0
2.0,4,11.5,7.9,0
2.0,4,11.6,7.5,0
2.0,4,12.3,8.7,0
2.4,4,9.6,6.5,0
2.0,4,11.5,7.9,0
2.0,4,11.6,7.5,0
2.4,4,11.3,7.4,0
2.0,4,11.3,7.5,0
2.0,4,12.1,7.9,0
2.5,4,10.5,7.2,0
3.6,6,12.8,8.5,0
2.0,4,11.8,8.1,0
3.6,6,13.1,9.0,1
3.6,6,13.2,8.7,1
3.6,6,13.3,9.0,1
2.0,4,11.9,7.9,0
3.6,6,12.9,8.2,0
2.0,4,12.6,8.5,0
3.6,6,13.1,9.0,1
3.6,6,15.1,9.9,1
3.0,6,12.7,8.9,0
3.6,6,13.3,8.9,1
3.0,6,12.8,9.1,0
3.6,6,13.3,9.0,1
6.2,8,19.7,12.9,1
6.2,8,16.7,12.5,1
6.2,8,19.7,12.9,1
6.2,8,16.7,12.5,1
6.2,8,19.7,12.9,1
6.2,8,16.7,12.5,1
6.2,8,17.0,11.8,1
6.2,8,23.3,16.1,1
6.2,8,18.8,13.4,1
6.2,8,25.7,17.8,1
3.6,6,14.3,9.8,1
3.6,6,14.8,10.4,1
3.6,6,13.6,8.6,1
3.6,6,14.0,9.1,1
3.6,6,14.8,9.8,1
3.6,6,13.2,8.7,1
3.6,6,14.2,8.6,1
3.6,6,12.7,7.9,0
6.2,8,15.3,9.8,1
6.2,8,15.0,9.9,1
6.2,8,19.7,12.9,1
6.2,8,16.7,12.5,1
6.2,8,14.9,8.5,1
6.2,8,13.7,8.2,1
1.4,4,9.1,6.3,0
1.4,4,9.1,6.3,0
1.8,4,10.5,6.7,0
1.8,4,9.5,6.5,0
2.0,4,8.7,5.1,0
1.4,4,9.1,6.0,0
1.4,4,8.4,5.6,0
2.4,4,10.5,7.3,0
3.6,6,13.9,9.6,1
3.6,6,18.8,13.1,1
2.4,4,11.5,8.2,0
3.6,6,14.8,9.9,1
3.6,6,19.8,13.6,1
4.3,6,17.1,12.7,1
5.3,8,18.0,13.4,1
5.3,8,23.5,17.7,1
5.3,8,18.3,14.2,1
5.3,8,23.7,18.8,1
5.3,8,18.6,13.9,1
5.3,8,23.9,18.5,1
5.3,8,18.3,14.2,1
5.3,8,25.3,19.3,1
5.3,8,18.6,13.9,1
5.3,8,23.9,18.5,1
5.3,8,18.3,14.2,1
5.3,8,25.3,19.3,1
4.8,8,21.1,14.2,1
6.0,8,21.9,15.0,1
6.0,8,30.0,20.4,1
4.8,8,21.3,14.3,1
6.0,8,22.1,15.0,1
6.0,8,30.2,20.5,1
2.5,4,11.3,7.5,0
3.6,6,12.6,8.2,0
3.6,6,16.7,11.3,0
2.4,4,10.0,7.0,0
2.0,4,11.5,7.9,0
2.5,4,9.3,6.4,0
2.4,4,12.2,8.6,0
2.4,4,11.8,8.3,0
4.3,6,13.4,9.9,1
4.3,6,18.9,14.2,1
5.3,8,14.6,10.3,1
5.3,8,19.5,13.7,1
6.2,8,16.3,11.4,1
4.3,6,14.2,10.6,1
4.3,6,20.0,15.1,1
5.3,8,14.9,10.6,1
5.3,8,19.9,14.2,1
6.2,8,16.4,11.7,1
1.4,4,9.1,6.7,0
1.4,4,8.5,6.2,0
1.8,4,9.6,6.6,0
1.8,4,8.9,6.7,0
1.4,4,9.1,6.7,0
1.4,4,8.5,6.2,0
1.8,4,9.6,6.6,0
1.8,4,8.9,6.7,0
1.4,4,9.4,7.0,0
1.4,4,8.7,7.0,0
1.4,4,9.4,7.0,0
1.4,4,8.7,7.0,0
1.2,4,7.7,6.0,0
1.2,4,7.6,6.0,0
5.3,8,16.0,11.1,1
5.3,8,21.5,14.6,1
5.3,8,16.0,11.1,1
5.3,8,21.5,14.6,1
5.3,8,16.0,11.1,1
5.3,8,21.5,14.6,1
5.3,8,16.0,11.1,1
5.3,8,21.5,14.6,1
3.6,6,14.3,9.9,1
3.6,6,14.6,10.2,1
1.4,4,9.4,7.1,0
1.4,4,9.1,6.8,0
1.4,4,10.0,7.8,0
3.6,6,12.4,7.7,0
2.4,4,11.7,8.2,0
2.4,4,12.9,8.1,0
3.6,6,12.5,8.1,0
3.6,6,17.0,11.2,0
2.4,4,11.2,8.0,0
2.4,4,12.0,7.6,0
3.6,6,12.5,8.1,0
3.6,6,17.0,11.2,0
5.7,8,15.8,9.2,1
3.6,6,12.8,8.6,0
5.7,8,16.1,10.0,1
3.6,6,12.8,8.6,0
3.6,6,17.3,11.7,0
3.6,6,12.4,7.7,0
3.6,6,16.8,10.3,0
6.4,8,16.7,10.3,1
3.6,6,14.1,9.5,1
3.6,6,19.7,13.3,1
2.4,4,11.2,8.0,0
2.4,4,12.0,7.6,0
3.6,6,12.5,8.1,0
3.6,6,17.0,11.2,0
3.6,6,13.2,8.7,1
5.7,8,15.6,10.0,1
5.7,8,15.8,9.2,1
6.4,8,16.8,10.4,1
6.4,8,16.7,10.3,1
3.6,6,13.2,8.7,1
3.6,6,12.4,7.7,0
5.7,8,15.8,9.2,1
3.6,6,12.8,8.6,0
5.7,8,16.1,10.0,1
3.6,6,12.8,8.6,0
3.6,6,17.3,11.7,0
3.6,6,13.2,8.7,1
3.6,6,18.3,12.6,0
3.6,6,12.3,7.6,0
3.6,6,16.8,10.3,0
6.4,8,16.7,10.3,1
2.0,4,9.4,6.5,0
2.4,4,10.1,6.8,0
2.4,4,10.5,6.7,0
2.0,4,9.9,7.0,0
2.0,4,14.2,9.8,0
2.4,4,10.6,7.5,0
2.4,4,10.2,7.0,0
1.4,4,8.4,5.9,0
1.4,4,8.5,5.8,0
5.7,8,17.3,10.8,1
3.6,6,13.9,9.8,1
3.6,6,17.7,13.0,0
3.6,6,13.7,9.4,1
3.6,6,19.2,13.1,1
2.4,4,12.7,9.1,0
3.6,6,14.5,9.9,1
3.6,6,14.2,9.4,1
3.6,6,18.9,12.9,1
1.4,4,8.5,6.9,0
1.4,4,8.5,6.9,0
1.4,4,8.7,6.9,0
1.4,4,7.9,6.3,0
1.4,4,8.5,6.9,0
1.4,4,8.7,6.9,0
1.4,4,7.6,5.9,0
1.4,4,8.5,6.9,0
1.4,4,10.0,7.2,0
1.4,4,9.3,7.2,0
2.0,4,5.6,6.4,0
4.6,8,17.7,14.4,1
4.6,8,24.1,19.2,1
5.4,8,19.3,14.7,1
5.4,8,24.9,19.6,1
4.6,8,18.6,14.6,1
4.6,8,25.5,20.0,1
6.8,10,23.9,17.8,1
5.4,8,20.6,15.5,1
5.4,8,26.7,20.5,1
2.0,4,11.3,7.9,0
3.5,6,12.6,8.7,0
3.5,6,13.3,9.3,1
3.7,6,13.7,10.4,1
1.6,4,10.4,7.4,0
2.0,4,10.9,8.0,0
2.5,4,10.9,7.5,0
1.6,4,10.5,7.9,0
2.0,4,11.2,8.5,0
5.4,8,18.2,13.3,1
5.4,8,24.5,18.0,1
2.0,4,11.8,8.3,0
3.5,6,14.8,10.7,1
3.5,6,13.7,9.7,1
3.5,6,18.3,12.9,0
3.5,6,14.3,10.3,1
3.5,6,18.9,13.9,1
3.5,6,14.5,10.6,1
3.5,6,14.6,10.6,1
6.2,8,18.3,12.9,1
3.5,6,15.9,11.3,1
3.5,6,15.4,11.0,1
6.2,8,20.1,14.4,1
3.7,6,14.0,10.3,1
3.7,6,18.8,13.7,1
3.7,6,14.0,10.3,1
3.7,6,18.8,13.7,1
5.0,8,16.4,12.3,1
5.0,8,22.1,16.7,1
5.0,8,16.4,12.3,1
5.0,8,22.1,16.7,1
3.7,6,15.0,11.4,1
3.7,6,20.2,15.3,1
3.7,6,15.0,11.4,1
3.7,6,20.2,15.3,1
5.0,8,16.8,12.6,1
5.0,8,22.4,17.0,1
5.0,8,16.7,12.5,1
5.0,8,22.4,16.9,1
6.2,8,20.4,15.0,1
1.6,4,8.5,6.5,0
1.6,4,8.6,6.4,0
1.0,4,7.5,5.5,0
1.6,4,8.0,5.8,0
1.6,4,8.9,6.8,0
3.5,6,13.2,9.4,1
3.5,6,13.7,10.2,1
3.5,6,14.8,10.4,1
2.0,4,10.2,7.4,0
2.0,4,8.8,6.4,0
2.0,4,11.7,8.5,0
2.0,4,8.9,6.4,0
2.0,4,11.7,8.5,0
2.0,4,9.1,6.6,0
2.0,4,11.9,8.9,0
2.0,4,8.4,5.8,0
2.0,4,11.6,8.3,0
1.5,4,10.1,6.6,0
1.6,4,9.4,6.4,0
2.0,4,10.5,7.1,0
2.5,4,10.5,7.0,0
1.5,4,9.5,6.3,0
2.0,4,10.9,7.5,0
2.0,4,5.3,5.7,0
3.7,6,12.1,7.8,0
3.7,6,12.7,8.1,0
5.0,8,13.3,9.3,1
5.0,8,15.4,9.4,1
5.8,8,15.9,9.9,1
3.7,6,12.5,8.2,0
2.0,4,10.5,7.3,0
3.5,6,13.7,9.4,1
3.5,6,12.1,8.1,0
3.5,6,17.0,11.1,0
3.5,6,13.0,9.1,1
3.5,6,18.4,12.5,0
1.6,4,10.8,8.0,0
2.5,4,11.3,8.2,0
1.6,4,11.5,8.3,0
2.5,4,11.9,8.5,0
3.6,6,14.3,9.9,1
3.6,6,14.9,10.4,1
4.3,6,17.1,12.7,1
5.3,8,18.0,13.4,1
5.3,8,23.5,17.7,1
5.3,8,18.3,14.2,1
5.3,8,23.7,18.8,1
5.3,8,18.6,13.9,1
5.3,8,23.9,18.5,1
5.3,8,18.3,14.2,1
5.3,8,25.3,19.3,1
5.3,8,18.6,13.9,1
5.3,8,23.9,18.5,1
5.3,8,18.3,14.2,1
5.3,8,25.3,19.3,1
4.8,8,21.1,14.2,1
6.0,8,21.9,15.0,1
6.0,8,30.0,20.4,1
4.8,8,21.3,14.3,1
6.0,8,22.1,15.0,1
6.0,8,30.2,20.5,1
4.3,6,13.4,9.9,1
4.3,6,18.9,14.2,1
5.3,8,14.6,10.3,1
5.3,8,19.5,13.7,1
6.2,8,16.3,11.4,1
4.3,6,14.2,10.6,1
4.3,6,20.0,15.1,1
5.3,8,14.9,10.6,1
5.3,8,19.9,14.2,1
6.2,8,16.4,11.7,1
2.4,4,10.5,7.3,0
3.6,6,13.9,9.6,1
3.6,6,18.8,13.1,1
2.4,4,11.5,8.2,0
3.6,6,14.8,9.9,1
3.6,6,19.8,13.6,1
5.3,8,16.0,11.1,1
5.3,8,21.5,14.6,1
5.3,8,16.0,11.1,1
5.3,8,21.5,14.6,1
6.2,8,17.0,11.8,1
6.2,8,23.3,16.1,1
6.2,8,18.8,13.4,1
6.2,8,25.7,17.8,1
5.3,8,16.0,11.1,1
5.3,8,21.5,14.6,1
5.3,8,16.0,11.1,1
5.3,8,21.5,14.6,1
2.4,4,9.0,6.6,0
2.4,4,9.1,6.9,0
2.4,4,10.1,6.9,0
3.5,6,11.0,6.8,0
3.5,6,11.4,7.3,0
3.5,6,13.0,8.4,0
2.0,4,4.7,4.9,0
1.8,4,7.9,6.0,0
1.8,4,8.1,6.2,0
1.8,4,8.5,6.6,0
3.5,6,12.5,8.5,0
2.4,4,10.3,7.6,0
2.4,4,10.6,7.9,0
1.5,4,6.6,6.0,0
1.5,4,7.6,6.1,0
1.5,4,8.3,6.5,0
1.5,4,8.3,6.9,0
3.5,6,12.3,8.5,0
3.5,6,13.3,9.3,1
3.5,6,13.9,9.7,1
3.5,6,15.2,11.3,1
1.6,4,8.8,6.3,0
1.6,4,8.7,6.4,0
2.0,4,9.8,7.2,0
2.0,4,9.8,7.0,0
5.0,8,15.7,10.2,1
3.8,6,13.0,8.7,0
3.3,6,13.0,9.1,1
3.3,6,13.3,9.5,1
2.4,4,11.6,8.7,0
2.0,4,12.9,9.7,1
2.4,4,12.5,9.4,0
2.0,4,11.4,7.5,0
2.4,4,9.8,7.0,0
2.4,4,6.5,5.9,0
2.4,4,6.6,5.9,0
2.0,4,10.2,8.2,0
2.0,4,11.4,8.6,0
2.4,4,11.3,8.3,0
2.0,4,11.4,9.3,0
2.4,4,11.6,9.3,0
1.6,4,8.6,6.6,0
1.6,4,9.1,6.7,0
1.6,4,9.9,7.5,0
1.6,4,9.7,7.1,0
3.7,6,12.0,8.0,0
