ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,CO2EMISSIONS
3.7,6,12.6,8.7,0
3.5,6,8.2,6.7,0
3.5,6,8.7,7.5,0
3.7,6,13.3,9.4,1
3.7,6,13.6,9.3,1
3.7,6,14.3,9.8,1
3.7,6,12.9,8.9,0
3.7,6,13.5,9.3,1
3.7,6,12.8,8.9,0
5.6,8,14.5,9.5,1
3.7,6,13.2,9.6,1
5.6,8,15.0,10.2,1
3.5,6,8.0,7.0,0
3.7,6,13.6,9.6,1
3.5,6,11.9,9.0,0
3.5,6,12.3,9.3,0
2.5,4,8.8,8.2,0
3.7,6,14.5,10.7,1
5.0,8,16.6,11.9,1
5.6,8,17.4,12.1,1
3.0,6,11.8,8.4,0
3.0,6,12.2,8.7,0
5.0,8,15.0,10.2,1
2.0,4,12.3,8.2,0
3.0,6,14.7,9.1,1
5.0,8,15.7,10.3,1
5.0,8,21.3,14.1,1
5.0,8,15.7,10.3,1
3.0,6,14.6,9.6,1
5.0,8,15.8,10.2,1
5.0,8,20.6,13.6,1
3.0,6,14.7,9.6,1
5.0,8,15.8,10.2,1
5.0,8,20.6,13.6,1
5.0,8,15.8,10.2,1
5.0,8,15.8,10.2,1
5.0,8,15.1,10.6,1
5.0,8,14.8,9.9,1
5.0,8,15.9,10.9,1
5.0,8,15.6,10.9,1
5.0,8,15.9,10.9,1
5.0,8,15.6,10.9,1
2.4,4,10.9,7.7,0
3.2,6,12.3,8.3,0
2.4,4,11.3,8.3,0
3.2,6,12.5,8.8,0
2.4,4,11.4,8.6,0
3.2,6,12.5,9.1,0
2.4,4,12.1,9.4,0
3.2,6,13.4,9.5,1
2.0,4,11.1,8.3,0
2.0,4,10.2,7.8,0
2.4,4,11.1,8.3,0
2.4,4,10.3,8.3,0
2.4,4,11.4,8.7,0
2.4,4,10.3,8.4,0
2.4,4,11.7,10.3,0
5.7,8,17.3,11.7,1
3.0,6,11.2,8.4,1
3.6,6,13.9,9.8,1
3.6,6,17.7,13.0,0
6.4,8,18.5,12.6,1
2.0,4,11.1,8.3,0
2.0,4,10.2,7.8,0
2.4,4,11.1,8.3,0
2.4,4,10.3,8.3,0
2.4,4,11.4,8.7,0
2.4,4,10.3,8.4,0
2.4,4,11.7,10.3,0
3.6,6,14.1,11.1,1
3.6,6,14.2,11.0,1
3.6,6,14.8,11.7,1
3.6,6,15.0,11.4,1
3.3,6,12.7,8.8,0
1.8,4,9.6,6.6,0
1.8,4,9.3,6.4,0
2.0,4,9.8,6.6,0
2.0,4,9.7,6.8,0
1.6,4,11.1,8.0,0
1.6,4,11.1,8.2,0
2.0,4,9.7,6.8,0
2.0,4,9.8,7.0,0
1.6,4,10.6,7.9,0
1.6,4,10.8,8.1,0
2.0,4,9.6,7.0,0
2.0,4,9.8,7.2,0
2.0,4,11.7,7.6,0
2.4,4,10.2,6.8,0
1.6,4,8.7,6.3,0
1.6,4,8.7,6.4,0
1.6,4,8.5,6.4,0
2.0,4,10.5,7.5,0
2.0,4,10.8,7.4,0
3.5,6,13.7,9.9,1
2.4,4,11.8,8.5,0
3.3,6,12.9,9.5,1
2.4,4,12.3,9.3,0
3.3,6,13.4,9.9,1
1.6,4,9.8,7.9,0
1.6,4,9.9,7.8,0
2.0,4,10.1,7.8,0
2.0,4,9.7,7.8,0
2.4,4,11.4,8.3,0
2.4,4,12.9,9.3,1
2.0,4,12.7,9.7,1
2.4,4,12.0,9.1,0
6.5,12,22.8,12.9,1
5.2,10,18.0,12.8,1
5.2,10,20.6,13.5,1
2.0,4,13.5,9.9,1
3.0,6,16.3,12.4,1
2.0,4,11.3,7.9,0
2.0,4,11.3,7.9,0
5.0,8,18.0,12.2,1
5.0,8,17.2,12.5,1
5.0,8,25.0,16.9,1
3.0,6,14.2,10.2,1
3.0,6,14.2,10.2,1
3.0,6,19.4,14.9,1
5.0,8,17.3,12.2,1
5.0,8,16.6,12.3,1
5.0,8,24.0,16.6,1
3.0,6,14.1,10.1,1
3.0,6,14.1,10.1,1
3.0,6,19.4,14.8,1
5.0,8,18.0,12.2,1
5.0,8,17.2,12.5,1
5.0,8,25.0,16.9,1
1.8,4,5.5,5.8,0
2.5,4,5.8,6.2,0
3.5,6,11.3,7.6,0
3.5,6,12.1,8.3,0
3.5,6,12.5,9.1,0
3.5,6,7.7,7.4,0
4.6,8,15.7,11.8,1
2.5,6,11.2,7.8,0
2.5,6,11.8,8.7,0
2.5,6,11.2,7.8,0
3.5,6,12.2,8.7,0
3.5,6,12.5,9.1,0
3.5,6,12.1,8.7,0
5.0,8,14.6,10.1,1
4.6,8,14.5,9.6,1
4.6,8,15.1,10.3,1
4.6,8,15.1,10.3,1
5.0,8,12.0,10.7,1
5.7,8,18.8,13.6,1
3.5,6,13.3,9.8,1
3.5,6,12.7,9.1,0
3.5,6,7.9,8.6,0
3.5,6,13.7,9.4,1
3.7,6,13.1,9.0,1
3.5,6,14.8,10.4,1
2.0,4,11.5,8.5,0
3.7,6,14.0,9.9,1
3.7,6,13.7,10.4,1
2.0,4,10.5,7.1,0
3.7,6,13.1,9.3,1
2.0,4,6.2,6.4,0
5.4,8,18.2,13.3,1
5.4,8,24.5,18.0,1
3.0,6,15.2,9.6,1
3.0,6,15.2,9.6,1
4.7,8,18.2,11.4,1
4.7,8,18.2,11.7,1
3.8,8,17.6,10.7,1
3.0,6,15.9,9.7,1
2.0,4,8.9,7.3,0
2.0,4,9.0,6.8,0
2.5,4,9.6,7.4,0
2.0,4,9.3,7.6,0
2.5,4,9.8,7.9,0
3.7,6,14.2,10.0,1
3.7,6,14.3,10.6,1
1.5,4,8.4,6.9,0
1.5,4,8.0,6.7,0
2.0,4,7.9,5.7,0
2.0,4,8.0,5.8,0
2.5,4,8.4,6.1,0
2.5,4,8.3,6.1,0
2.0,4,8.0,5.8,0
2.0,4,8.0,5.9,0
2.0,4,8.2,5.9,0
2.5,4,8.7,6.5,0
2.5,4,8.2,6.1,0
2.0,4,8.2,5.9,0
2.5,4,10.8,8.4,0
2.5,4,11.1,8.3,0
2.5,4,8.8,6.2,0
2.5,4,9.4,6.4,0
2.5,4,8.4,5.9,0
2.0,4,11.5,8.5,0
2.0,4,10.5,8.5,0
2.0,4,11.1,8.4,0
2.0,4,9.2,6.6,0
1.8,4,10.9,7.5,0
1.8,4,11.0,7.4,0
3.5,6,12.2,8.5,0
3.5,6,16.4,11.1,0
3.5,6,12.0,8.6,0
3.5,6,11.9,8.6,0
3.5,6,12.1,8.7,0
3.5,6,12.1,8.6,0
6.2,8,17.7,11.9,1
6.2,8,17.9,12.2,1
4.7,8,15.4,10.4,1
5.5,8,15.4,11.0,1
2.0,4,9.1,6.2,0
2.0,4,10.3,7.8,0
4.7,8,13.3,9.4,1
5.5,8,15.1,10.7,1
5.5,8,15.1,10.7,1
2.1,4,8.5,5.7,0
3.5,6,11.8,8.2,0
3.5,6,11.6,8.1,0
3.5,6,11.9,8.5,0
3.5,6,12.1,8.6,0
3.5,6,12.0,8.5,0
3.5,6,11.9,8.2,0
3.5,6,9.6,7.9,0
4.7,8,13.6,9.1,1
4.7,8,13.7,9.3,1
4.7,8,13.4,8.9,1
5.5,8,15.0,10.3,1
5.5,8,15.5,11.0,1
5.5,8,15.0,10.3,1
5.5,8,15.5,11.0,1
5.5,8,20.0,15.9,1
5.5,8,19.4,15.7,1
3.0,6,13.4,10.2,1
4.7,8,17.1,12.8,1
4.7,8,17.6,13.1,1
5.5,8,17.7,13.4,1
2.1,4,9.6,7.1,0
3.5,6,12.6,9.6,1
3.5,6,13.4,10.5,1
3.5,6,17.8,13.8,1
3.0,6,11.8,8.5,1
4.7,8,16.2,11.8,1
5.5,8,17.2,13.5,1
4.7,8,14.3,9.5,1
4.7,8,14.2,9.4,1
5.5,8,15.6,10.3,1
4.7,8,13.4,9.6,1
5.5,8,14.8,10.2,1
6.0,8,16.7,11.2,1
1.8,4,10.3,7.2,0
1.8,4,10.4,7.3,0
3.5,6,11.1,8.1,0
5.5,8,12.3,8.7,0
6.2,8,18.7,13.9,1
6.2,8,18.2,12.6,1
6.2,8,18.2,12.6,1
1.6,4,8.7,6.6,0
1.6,4,8.6,6.8,0
1.6,4,8.7,6.6,0
1.6,4,8.6,6.8,0
1.6,4,9.4,7.9,0
1.6,4,8.6,6.8,0
1.6,4,8.5,6.6,0
1.6,4,8.0,6.4,0
1.6,4,9.4,7.9,0
1.6,4,8.6,6.8,0
1.6,4,8.7,6.6,0
1.6,4,8.6,6.8,0
1.6,4,9.3,7.0,0
1.6,4,9.1,6.7,0
1.6,4,9.3,7.0,0
1.6,4,9.1,6.7,0
1.6,4,10.0,7.8,0
1.6,4,9.3,7.5,0
1.6,4,9.3,7.0,0
1.6,4,9.1,6.7,0
1.6,4,10.0,7.8,0
1.6,4,9.3,7.5,0
1.6,4,9.3,7.0,0
1.6,4,9.1,6.7,0
1.6,4,9.3,7.0,0
1.6,4,9.1,6.7,0
1.6,4,9.3,7.0,0
1.6,4,9.1,6.7,0
1.6,4,10.0,7.8,0
1.6,4,9.3,7.5,0
1.6,4,9.3,7.0,0
1.6,4,9.1,6.7,0
1.6,4,10.0,7.8,0
1.6,4,9.3,7.5,0
1.6,4,9.3,7.0,0
1.6,4,9.1,6.7,0
2.0,4,9.2,7.0,0
2.0,4,9.6,6.8,0
2.4,4,10.5,8.2,0
2.0,4,14.2,10.5,1
2.0,4,14.0,10.3,1
2.0,4,13.4,9.4,1
2.0,4,9.6,7.3,0
2.0,4,9.8,7.1,0
1.2,3,6.4,5.4,0
1.2,3,7.0,5.6,0
2.4,4,9.5,7.5,0
2.4,4,9.9,8.1,0
3.0,6,11.5,8.5,0
2.0,4,9.6,7.6,0
2.0,4,9.9,7.5,0
2.0,4,9.8,8.0,0
3.7,6,12.6,9.1,0
3.7,6,13.3,9.3,1
3.7,6,13.0,9.5,1
3.7,6,13.5,9.6,1
2.5,4,8.7,6.2,0
3.5,6,10.8,7.4,0
5.6,8,19.1,13.4,1
2.5,4,13.7,10.6,1
2.5,4,12.2,10.2,1
4.0,6,14.7,10.2,1
4.0,6,15.7,11.2,1
4.0,6,14.8,11.0,1
3.8,6,14.5,10.9,1
1.6,4,8.7,7.3,0
1.6,4,9.5,7.6,0
1.6,4,9.3,7.9,0
3.5,6,12.3,9.1,0
3.5,6,13.2,10.1,1
2.0,4,10.0,8.5,0
3.5,6,12.0,8.9,0
3.5,6,12.3,9.3,0
2.5,4,9.1,8.5,0
3.5,6,12.5,9.5,0
2.5,4,9.2,7.2,0
2.5,4,9.5,7.4,0
1.8,4,7.8,6.0,0
1.8,4,8.7,6.6,0
5.6,8,17.9,12.8,1
5.6,8,19.7,14.3,1
1.6,4,7.2,5.8,0
1.6,4,8.6,6.5,0
4.0,6,16.1,11.9,1
4.0,6,15.2,11.9,1
3.4,6,11.6,8.3,0
3.4,6,12.5,8.6,0
3.4,6,11.8,8.5,0
3.4,6,12.4,8.6,0
3.4,6,12.0,8.7,0
3.4,6,12.6,9.0,0
3.8,6,12.3,8.9,0
3.8,6,12.8,8.9,0
3.8,6,12.7,9.0,0
3.8,6,12.9,9.1,1
3.4,6,11.6,8.3,0
3.4,6,12.4,8.6,0
3.8,6,12.1,8.7,0
3.8,6,12.6,8.6,0
3.8,6,12.4,8.7,0
3.8,6,12.6,8.8,0
3.8,6,16.0,11.5,1
3.8,6,13.7,9.6,1
3.8,6,13.7,9.6,1
3.8,6,13.7,9.6,1
3.8,6,13.7,9.6,1
2.7,6,10.7,7.4,0
2.7,6,11.5,7.9,0
3.4,6,11.3,7.9,0
3.4,6,11.9,8.6,0
3.6,6,13.6,10.1,1
3.6,6,15.8,10.9,1
3.0,6,12.2,8.1,1
4.8,8,15.9,11.4,1
4.8,8,15.0,10.6,1
3.0,6,11.8,9.9,0
4.8,8,15.9,10.9,1
2.7,6,10.7,7.4,0
2.7,6,11.5,7.9,0
3.4,6,11.3,7.9,0
3.4,6,11.9,8.6,0
3.6,6,12.9,8.4,0
3.6,6,13.1,8.7,0
3.0,6,13.4,8.8,1
3.0,6,13.7,8.9,1
4.8,8,15.1,9.7,1
3.0,6,13.4,8.8,1
4.8,8,15.3,9.7,1
4.8,8,15.4,9.8,1
5.7,8,17.1,12.0,1
5.7,8,15.8,10.9,1
5.7,8,17.6,12.7,1
5.7,8,16.3,11.5,1
3.0,6,12.1,8.8,1
3.6,6,14.6,10.1,1
3.6,6,20.5,14.5,1
3.0,6,11.6,8.4,1
3.6,6,13.9,9.5,1
3.6,6,19.4,13.6,1
3.6,6,12.9,9.3,1
3.6,6,13.3,9.1,1
3.6,6,18.6,12.7,0
6.6,12,19.1,12.3,1
6.6,12,19.1,12.3,1
6.7,12,20.7,12.8,1
6.7,12,20.7,12.8,1
6.7,12,20.7,12.7,1
6.7,12,20.7,12.7,1
6.6,12,18.7,11.8,1
2.0,4,9.6,7.0,0
2.0,4,10.9,7.8,0
1.3,4,6.6,5.7,0
2.5,4,10.2,7.5,0
2.5,4,10.2,7.6,0
2.4,4,10.9,8.6,0
2.4,4,10.9,8.6,0
1.8,4,8.8,7.1,0
1.8,4,8.6,7.1,0
1.0,3,6.9,5.7,0
1.0,3,6.9,5.7,0
8.4,10,20.0,13.0,1
8.4,10,20.0,13.0,1
2.0,4,9.6,7.1,0
2.0,4,11.0,7.9,0
2.0,4,10.2,8.6,0
2.5,4,9.6,7.4,0
2.5,4,10.9,8.3,0
2.0,4,8.7,6.6,0
2.0,4,9.6,7.1,0
2.5,4,12.6,9.5,1
2.5,4,14.2,10.4,1
2.0,4,8.7,6.6,0
2.0,4,9.6,7.1,0
2.5,4,12.6,9.5,1
2.5,4,14.2,10.4,1
2.5,4,9.7,7.3,0
2.5,4,11.3,8.2,0
3.6,6,13.3,9.5,1
2.5,4,9.9,7.8,0
2.5,4,10.8,8.5,0
3.6,6,13.4,9.7,1
3.6,6,14.7,11.1,1
2.0,4,9.5,7.2,0
2.0,4,10.2,8.0,0
2.0,4,8.1,7.2,0
4.0,6,14.3,11.1,1
4.0,6,14.3,11.1,1
3.5,6,11.3,7.6,0
2.5,4,9.5,6.6,0
3.5,6,11.1,7.8,0
2.5,4,5.5,5.9,0
2.5,4,5.8,6.2,0
1.8,4,8.6,6.5,0
1.8,4,8.1,6.3,0
1.8,4,8.0,5.9,0
1.8,4,8.3,6.3,0
1.8,4,7.7,5.6,0
1.8,4,7.8,5.9,0
1.8,4,9.4,7.5,0
1.8,4,8.9,7.3,0
4.0,6,14.3,11.2,1
4.0,6,15.4,12.1,1
2.7,4,11.7,8.6,0
3.5,6,12.6,9.4,1
3.5,6,13.0,9.7,1
3.5,6,8.0,8.6,0
3.5,6,7.9,8.6,0
1.8,4,4.7,4.9,0
1.5,4,4.6,4.9,0
1.8,4,5.3,5.8,0
2.5,4,10.0,7.6,0
2.5,4,10.4,8.1,0
2.5,4,10.6,8.2,0
5.7,8,19.0,13.9,1
3.5,6,12.9,9.4,1
3.5,6,14.2,10.3,1
2.7,4,12.2,9.3,0
2.7,4,11.3,8.9,0
4.0,6,14.5,11.3,1
2.7,4,13.1,10.5,1
2.7,4,12.8,10.6,1
4.0,6,14.7,11.5,1
4.0,6,15.3,12.3,1
4.0,6,14.8,11.8,1
4.6,8,15.9,12.3,1
5.7,8,17.6,12.9,1
4.6,8,16.9,12.8,1
5.7,8,18.1,13.9,1
2.7,4,11.4,8.2,0
3.5,6,12.6,9.1,0
2.7,4,11.6,8.5,0
3.5,6,12.9,9.4,1
1.5,4,7.9,6.6,0
1.5,4,7.8,6.3,0
1.8,4,9.5,7.2,0
1.8,4,9.9,7.2,0
2.0,4,10.3,7.7,0
2.0,4,10.8,7.6,0
2.5,5,10.9,8.4,0
2.5,5,11.2,7.7,0
1.8,4,9.8,7.3,0
2.0,4,10.3,8.1,0
2.0,4,10.8,7.6,0
2.5,5,11.2,8.7,0
2.0,4,8.2,6.1,0
2.0,4,8.5,5.8,0
2.0,4,11.1,7.9,0
2.0,4,11.6,7.7,0
3.6,6,14.3,9.8,1
2.0,4,10.9,8.0,0
2.5,5,11.0,7.7,0
2.5,5,11.2,7.3,0
2.0,4,8.2,6.0,0
2.0,4,7.9,5.6,0
1.8,4,9.5,6.7,0
1.8,4,9.4,6.7,0
2.0,4,10.6,8.0,0
2.0,4,10.4,7.2,0
2.0,4,10.2,7.5,0
2.0,4,10.6,7.4,0
2.0,4,7.9,5.7,0
2.0,4,7.9,5.6,0
1.4,4,5.6,5.2,0
1.8,4,9.9,6.9,0
1.8,4,10.0,6.9,0
2.5,5,11.0,8.0,0
2.5,5,11.4,7.8,0
3.6,6,12.4,8.8,0
2.0,4,8.1,5.9,0
2.0,4,8.0,5.4,0
3.6,6,14.2,9.5,1
2.0,4,11.7,9.5,0
2.0,4,13.6,9.2,1
2.0,4,11.7,9.4,0
3.6,6,13.8,10.3,1
3.0,6,12.3,8.0,1
2.5,5,11.3,7.8,0
2.5,5,11.6,8.3,0
3.0,6,13.2,9.5,1
3.2,6,11.9,8.1,0
3.0,6,13.2,9.5,1
3.2,6,13.0,8.9,1
3.0,6,13.4,9.8,1
3.2,6,13.2,9.5,1
3.0,6,13.4,9.8,1
3.2,6,12.9,9.3,1
3.2,6,14.9,10.2,1
